Country Code,Short Name,Table Name,Long Name,Region,Income Group,Other groups,GovernmentEffectiveness,Political StabilityNoViolence,VoiceandAccountability,Pop_female,Pop_male,Pop_total,Adolescent fertility %,Women justified in beating %,Energy pc,GDP pc,Human capital index,Statistical performance indicator,Freedom_Index,Economy_Index
NIC,Nicaragua,Nicaragua,Republic of Nicaragua,Latin America & Caribbean,Lower middle income,HIPC,-0.741525208950043,-0.440371099114418,-0.794458293914795,3136537.8,3047252.3,6183790.1,8.946448,,550.366296186185,5378.79921762568,0.515493088881175,47.9977083333334,0.401596046716863,0.169581173996899
HND,Honduras,Honduras,Republic of Honduras,Latin America & Caribbean,Lower middle income,HIPC,-0.65768438577652,-0.503895431756973,-0.47217048406601,4524023.6,4509906.9,9033930.5,7.709004,12.4,585.472257284721,5282.09494571342,0.483776357571284,60.2501041666667,0.431340356334328,0.149877878468907
NGA,Nigeria,Nigeria,Federal Republic of Nigeria,Sub-Saharan Africa,Lower middle income,,-1.03397994041443,-1.9654317855835,-0.370761561393738,88447662.1,90704047.2,179151709.3,11.199266,31.35,775.518609331982,5224.67016433953,0.35245433195432,51.0754166666667,0.293642802844103,0.0708929046120169
MRT,Mauritania,Mauritania,Islamic Republic of Mauritania,Sub-Saharan Africa,Lower middle income,HIPC,-0.750381255149841,-0.634766972064972,-0.818784761428833,1994341.1,2002580,3996921.1,7.501404,37.9,,4992.53572294249,0.368379190524419,43.0815625,0.383425442855703,0.0675774540138218
COG,Congo,Congo. Rep.,Republic of Congo,Sub-Saharan Africa,Lower middle income,HIPC,-1.18448231220245,-0.561912900209427,-1.14803528785706,2411793.4,2399324.1,4811117.5,11.503328,60.7,518.086913241202,4860.8002827472,0.416593249440193,38.3846875,0.324836005590828,0.10435254708552
DJI,Djibouti,Djibouti,Republic of Djibouti,Middle East & North Africa,Lower middle income,,-0.914352548122406,-0.456072202324867,-1.38911266326904,426401.6,479966.3,906367.9,2.037322,,,4728.55384516948,,32.2195833333333,0.334727724320535,0.0199171673552231
KGZ,Kyrgyz Republic,Kyrgyz Republic,Kyrgyz Republic,Europe & Central Asia,Lower middle income,HIPC,-0.762838351726532,-0.590154850482941,-0.417928165197372,2988972.3,2924867.7,5913840,3.74377,33.25,636.7266237285,4723.95795247041,0.590054438114166,77.668125,0.420516186921661,0.21460137031608
GHA,Ghana,Ghana,Republic of Ghana,Sub-Saharan Africa,Lower middle income,HIPC,-0.184007024765015,0.00199295878410339,0.567297184467316,13605623.8,13957724,27563347.8,6.906372,28.3,321.559248301351,4664.50386542907,0.444182163953781,59.7938541666667,0.600172811358878,0.116916680559859
CIV,C̫te d'Ivoire,C̫te d'Ivoire,Republic of C̫te d'Ivoire,Sub-Saharan Africa,Lower middle income,HIPC,-0.633959299325943,-0.936321818828583,-0.290618205070496,11368810.8,11642797.2,23011608,12.103188,47.9,572.096444182685,4296.54563799461,0.351673949480057,54.8533333333333,0.414855865956984,0.0618166221733745
PAK,Pakistan,Pakistan,Islamic Republic of Pakistan,South Asia,Lower middle income,,-0.645868241786957,-2.37519345283508,-0.751446855068207,95898617,101736156.4,197634773.4,4.010076,41.65,465.603489434538,4275.82651431743,0.398124536355337,59.0745833333333,0.260563907514931,0.0888015477929949
MMR,Myanmar,Myanmar,Republic of the Union of Myanmar,East Asia & Pacific,Lower middle income,,-1.09710748195648,-1.1149689912796,-0.920739674568176,27143711,25256362.7,52400073.7,2.927496,51.2,310.446692042415,4133.68010042966,0.474161509037018,55.4180208333333,0.308048551215648,0.132785485187347
SDN,Sudan,Sudan,Republic of the Sudan,Sub-Saharan Africa,Low income,HIPC,-1.53321306705475,-1.99253492355347,-1.7853015422821,19296755,19234968.9,38531723.9,7.286312,34,427.962653056851,4001.37777126292,0.377495216608047,38.6921875,0.128096697356541,0.073761453995978
PNG,Papua New Guinea,Papua New Guinea,The Independent State of Papua New Guinea,East Asia & Pacific,Lower middle income,,-0.699099457263947,-0.629689282178879,0.0908840484917164,3938914.4,4095966.4,8034880.8,5.468428,69.8,,3881.58958654243,0.412652352333069,35.5354166666667,0.466590684724653,0.0896554122006523
KEN,Kenya,Kenya,Republic of Kenya,Sub-Saharan Africa,Lower middle income,,-0.348046362400055,-1.20573675632477,-0.220975983142853,23799900.9,23489168.2,47289069.1,8.096164,41.8,471.070132320354,3794.93678961862,0.535646197954814,55.6863541666667,0.42326639481473,0.172630237506216
STP,Ṣo Tom̩ and Principe,Ṣo Tom̩ and Principe,Democratic Republic of Ṣo Tom̩ and Principe,Sub-Saharan Africa,Lower middle income,HIPC,-0.687884426116943,0.319787010550499,0.295195698738098,98790.9,98903.6,197694.5,9.747724,19.1,,3711.29346015987,,46.2939583333334,0.56006918789284,0.0147292457168257
